Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Info,Coord_rad
KK Women's and Children's Hospital ,"100 Bukit Timah Road, S(229899)",\$0.047/min from 6am to 6pm,\$2.40/entry from 6pm to 6am the following day,\$2.40/entry from 6am to 6am the following day,\$2.40/entry from 6am to 6am the following day,"<b>Carpark: </b>KK Women's and Children's Hospital 
<b>Address: </b>100 Bukit Timah Road, S(229899)
<b>Mon-Fri before 5/6pm: </b>\$0.047/min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.40/entry from 6pm to 6am the following day
<b>Sat: </b>\$2.40/entry from 6am to 6am the following day
<b>Sun/ Public Holiday: </b>\$2.40/entry from 6am to 6am the following day","(0.022874546976025478, 1.8124691989972612)"
112 Katong,"112 East Coast Road, S(428802)","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min, (10am-5.59pm) \$1.07 for 1st hr, \$0.27 for subsequent 15min","(6pm-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min, (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","<b>Carpark: </b>112 Katong
<b>Address: </b>112 East Coast Road, S(428802)
<b>Mon-Fri before 5/6pm: </b>(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min, (10am-5.59pm) \$1.07 for 1st hr, \$0.27 for subsequent 15min
<b>Mon-Fri after 5/6pm: </b>(6pm-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min, (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min
<b>Sat: </b>(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min
<b>Sun/ Public Holiday: </b>(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(0.022779325302695174, 1.8134855338912947)"
Katong Plaza,"1 Brooke Road, S(429979)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm","\$1.00 for 1st hr, \$0.50 for next subsequent 30min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Katong Plaza
<b>Address: </b>1 Brooke Road, S(429979)
<b>Mon-Fri before 5/6pm: </b>\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$1.00 for 1st hr, \$0.50 for next subsequent 30min from 6pm to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022762683588277412, 1.8134645253630883)"
Katong Shopping Centre,"865 Mountbatten Road, S(437844)",\$1.45/hr from 7.01am to 6pm,\$2.50/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7.01am to 7am the following day,"<b>Carpark: </b>Katong Shopping Centre
<b>Address: </b>865 Mountbatten Road, S(437844)
<b>Mon-Fri before 5/6pm: </b>\$1.45/hr from 7.01am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 6.01pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.50/entry from 7.01am to 7am the following day","(0.022757513923033004, 1.8134176021861486)"
Enterprise One,"1 Kaki Bukit Road 1, S(415934)","30min free, \$0.70 for next subsequent 30min","30min free, \$0.70 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Enterprise One
<b>Address: </b>1 Kaki Bukit Road 1, S(415934)
<b>Mon-Fri before 5/6pm: </b>30min free, \$0.70 for next subsequent 30min
<b>Mon-Fri after 5/6pm: </b>30min free, \$0.70 for next subsequent 30min
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023275604439512005, 1.8134408796423827)"
Keppel Towers,"10 Hoe Chiang Road, S(089315)",\$3.00/hr from 8am to 5pm,\$3.00/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Keppel Towers
<b>Address: </b>10 Hoe Chiang Road, S(089315)
<b>Mon-Fri before 5/6pm: </b>\$3.00/hr from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/hr from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022240821415284842, 1.8123859450466118)"
Kwong Wai Shui Hospital,"705 Serangoon Road, S(328127)",Free Parking,Free Parking,Free Parking,Free Parking,"<b>Carpark: </b>Kwong Wai Shui Hospital
<b>Address: </b>705 Serangoon Road, S(328127)
<b>Mon-Fri before 5/6pm: </b>Free Parking
<b>Mon-Fri after 5/6pm: </b>Free Parking
<b>Sat: </b>Free Parking
<b>Sun/ Public Holiday: </b>Free Parking","(0.022990960437133504, 1.8126872133101155)"
Concorde Hotel Singapore,"100 Orchard Road, S(238840)","\$2.14 for 1st hr, \$1.39 for next subsequent 30min from 7am to 6pm",\$3.75/entry from 6pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day,"<b>Carpark: </b>Concorde Hotel Singapore
<b>Address: </b>100 Orchard Road, S(238840)
<b>Mon-Fri before 5/6pm: </b>\$2.14 for 1st hr, \$1.39 for next subsequent 30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.75/entry from 6pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.75/entry from 7am to 7am the following day","(0.022702963657261918, 1.8123907516833717)"
Liang Court,"177 River Valley Road, S(179030)",\$1.28/hr from 7am to 6pm,\$3.21/entry 6.01pm to 6.59am the following day,\$3.21/entry from 6am to 6am the following day,\$3.21/entry from 6am to 6am the following day,"<b>Carpark: </b>Liang Court
<b>Address: </b>177 River Valley Road, S(179030)
<b>Mon-Fri before 5/6pm: </b>\$1.28/hr from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.21/entry 6.01pm to 6.59am the following day
<b>Sat: </b>\$3.21/entry from 6am to 6am the following day
<b>Sun/ Public Holiday: </b>\$3.21/entry from 6am to 6am the following day","(0.022540293734988292, 1.8124236284504915)"
Liat Towers,"541 Orchard Road, S(238881)","\$2.50 for 1st hr, \$1.30 for next subsequent 30min from 7am to 6pm",\$3.80/entry from 6pm to 12midnight,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Liat Towers
<b>Address: </b>541 Orchard Road, S(238881)
<b>Mon-Fri before 5/6pm: </b>\$2.50 for 1st hr, \$1.30 for next subsequent 30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.80/entry from 6pm to 12midnight
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022778513724592997, 1.8121871206288831)"
Health Promotion Board,"3 Second Hospital Avenue, S(168937)",\$0.036/min from 7am to 10pm,\$2.14/entry from 10pm to 7am the following day,Charges same as weekdays,"\$0.018/min from 7am to 10pm, \$2.14/entry from 10pm to 7am the following day","<b>Carpark: </b>Health Promotion Board
<b>Address: </b>3 Second Hospital Avenue, S(168937)
<b>Mon-Fri before 5/6pm: </b>\$0.036/min from 7am to 10pm
<b>Mon-Fri after 5/6pm: </b>\$2.14/entry from 10pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$0.018/min from 7am to 10pm, \$2.14/entry from 10pm to 7am the following day","(0.022332447710356043, 1.8123214289508118)"
Lot One,"21 Choa Chu Kang Avenue 4, S(689812)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm",\$2.57/entry from 6pm to 2.59am the following day,"\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm","<b>Carpark: </b>Lot One
<b>Address: </b>21 Choa Chu Kang Avenue 4, S(689812)
<b>Mon-Fri before 5/6pm: </b>\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.57/entry from 6pm to 2.59am the following day
<b>Sat: </b>\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day
<b>Sun/ Public Holiday: </b>\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm","(0.02417015723965843, 1.8106926353329731)"
Loyang Point,"258 Pasir Ris Street 21, S(510258)",\$0.50/30min from 7am to 5pm,"\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,\$1.00/entry from 7am to 7am the following day,"<b>Carpark: </b>Loyang Point
<b>Address: </b>258 Pasir Ris Street 21, S(510258)
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$1.00/entry from 7am to 7am the following day","(0.023855659380424568, 1.8145250170871974)"
Lucky Plaza,"304 Orchard Road, S(238863)","\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 4.59pm",\$3.38/entry from 5pm to 6.59am the following day,Charges same as Weekdays,"\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 9.59pm. \$3.38/entry from 10pm to 6.69am on Sunday, \$4.00/entry from 7am to 6.59am the following day on Public Holiday","<b>Carpark: </b>Lucky Plaza
<b>Address: </b>304 Orchard Road, S(238863)
<b>Mon-Fri before 5/6pm: </b>\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 4.59pm
<b>Mon-Fri after 5/6pm: </b>\$3.38/entry from 5pm to 6.59am the following day
<b>Sat: </b>Charges same as Weekdays
<b>Sun/ Public Holiday: </b>\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 9.59pm. \$3.38/entry from 10pm to 6.69am on Sunday, \$4.00/entry from 7am to 6.59am the following day on Public Holiday","(0.022769137815851284, 1.8122457759090547)"
Grand Hyatt Singapore,"10 Scotts Road, S(228211)","\$3.21 for 1st hr, \$1.07 for next subsequent 30min from 4am to 4.59pm",\$5.35/entry from 5pm to 3.59am the following day,Charges same as weekdays,\$5.35/entry from 4am to 3.59am the following day,"<b>Carpark: </b>Grand Hyatt Singapore
<b>Address: </b>10 Scotts Road, S(228211)
<b>Mon-Fri before 5/6pm: </b>\$3.21 for 1st hr, \$1.07 for next subsequent 30min from 4am to 4.59pm
<b>Mon-Fri after 5/6pm: </b>\$5.35/entry from 5pm to 3.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$5.35/entry from 4am to 3.59am the following day","(0.022800089484806149, 1.8122320384225123)"
Grand Mercure Roxy Hotel,"50 East Coast Road, S(428769)",\$1.60/hr from 6am to 6am the following day,\$1.60/hr from 6am to 6am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Grand Mercure Roxy Hotel
<b>Address: </b>50 East Coast Road, S(428769)
<b>Mon-Fri before 5/6pm: </b>\$1.60/hr from 6am to 6am the following day
<b>Mon-Fri after 5/6pm: </b>\$1.60/hr from 6am to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022758557629925694, 1.8134715468226692)"
Grand Park City Hall,"10 Coleman Street, S(179809)","\$3.28 for 1st hr, \$1.55 for next subsequent 30min from 8am to 5pm",\$5.35/entry from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Grand Park City Hall
<b>Address: </b>10 Coleman Street, S(179809)
<b>Mon-Fri before 5/6pm: </b>\$3.28 for 1st hr, \$1.55 for next subsequent 30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$5.35/entry from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022558893708826796, 1.8125261403641073)"
The Chevrons,"48 Boon Lay Way, S(609961)",\$1.00/hr from 7am to 4.59pm from Mon to Thurs,"\$2.00/entry from 5pm to 6.59am the following day from Mon to Thurs, \$3.00/entry from 5pm to 6.59am the following day on Fri","\$1.00/hr from 7am to 4.59pm, \$3.00/entry from 5pm to 6.59am the following day",\$2.00/entry from 7am to 6.59am the following day,"<b>Carpark: </b>The Chevrons
<b>Address: </b>48 Boon Lay Way, S(609961)
<b>Mon-Fri before 5/6pm: </b>\$1.00/hr from 7am to 4.59pm from Mon to Thurs
<b>Mon-Fri after 5/6pm: </b>\$2.00/entry from 5pm to 6.59am the following day from Mon to Thurs, \$3.00/entry from 5pm to 6.59am the following day on Fri
<b>Sat: </b>\$1.00/hr from 7am to 4.59pm, \$3.00/entry from 5pm to 6.59am the following day
<b>Sun/ Public Holiday: </b>\$2.00/entry from 7am to 6.59am the following day","(0.023229709261501565, 1.8107562037149894)"
Great World City,"1 Kim Seng Promenade, S(237994)",\$1.66/hr from 6.01am to 5pm,\$3.53/entry from 5.01pm to 6am the following day,\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day,\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day,"<b>Carpark: </b>Great World City
<b>Address: </b>1 Kim Seng Promenade, S(237994)
<b>Mon-Fri before 5/6pm: </b>\$1.66/hr from 6.01am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.53/entry from 5.01pm to 6am the following day
<b>Sat: </b>\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day
<b>Sun/ Public Holiday: </b>\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day","(0.022578148181134797, 1.8122096842454527)"
Greenridge Shopping Centre,"524A Jelapang Road, S(671524)","\$0.60/30min from 7am to 12pm, free parking from 12pm to 2pm, \$0.60/30min from 2pm to 5pm","\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,\$1.00/entry from 7am to 7am the following day,"<b>Carpark: </b>Greenridge Shopping Centre
<b>Address: </b>524A Jelapang Road, S(671524)
<b>Mon-Fri before 5/6pm: </b>\$0.60/30min from 7am to 12pm, free parking from 12pm to 2pm, \$0.60/30min from 2pm to 5pm
<b>Mon-Fri after 5/6pm: </b>\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$1.00/entry from 7am to 7am the following day","(0.024178367268459816, 1.8110624793281171)"
Guthrie House,"1 Fifth Avenue, S(268802)","\$0.02/min from 8am to 12pm \$0.02/min from 2pm to 6pm for the 1st 30min, \$0.05/min thereafter. \$0.08/min from 12pm to 2pm",\$0.06/min up to a maximum charge of \$3.60 from 6pm to 8am the following day,"\$0.04/min for 1st 30min, \$0.02/min for next subsequent min",\$2.00/entry from 8am to 8am the following day,"<b>Carpark: </b>Guthrie House
<b>Address: </b>1 Fifth Avenue, S(268802)
<b>Mon-Fri before 5/6pm: </b>\$0.02/min from 8am to 12pm \$0.02/min from 2pm to 6pm for the 1st 30min, \$0.05/min thereafter. \$0.08/min from 12pm to 2pm
<b>Mon-Fri after 5/6pm: </b>\$0.06/min up to a maximum charge of \$3.60 from 6pm to 8am the following day
<b>Sat: </b>\$0.04/min for 1st 30min, \$0.02/min for next subsequent min
<b>Sun/ Public Holiday: </b>\$2.00/entry from 8am to 8am the following day","(0.023228916882021156, 1.8115772449923708)"
HarbourFront Centre,"1 Maritime Square, S(099253)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm","\$2.60/entry from 6pm to 1am the following day, \$2.04/hour from 1am to 7am the following day",Charges Same as Weekdays,Charges Same as Weekdays,"<b>Carpark: </b>HarbourFront Centre
<b>Address: </b>1 Maritime Square, S(099253)
<b>Mon-Fri before 5/6pm: </b>\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.60/entry from 6pm to 1am the following day, \$2.04/hour from 1am to 7am the following day
<b>Sat: </b>Charges Same as Weekdays
<b>Sun/ Public Holiday: </b>Charges Same as Weekdays","(0.022063930550265964, 1.8120054458163843)"
HDB Hub (Toa Payoh),"480 Toa Payoh Lorong 6, S(310480)",\$0.60/30min from 7am to 6pm,"\$1.50/entry from 6pm to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day",Charges same as weekdays,"\$1.50/entry from 7am to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day","<b>Carpark: </b>HDB Hub (Toa Payoh)
<b>Address: </b>480 Toa Payoh Lorong 6, S(310480)
<b>Mon-Fri before 5/6pm: </b>\$0.60/30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$1.50/entry from 6pm to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$1.50/entry from 7am to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day","(0.023256753138261217, 1.8124988469052647)"
High Street Centre,"1 North Bridge Road, S(179094)",\$3.21/hr from 7am to 5pm,\$3.21/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.21/entry from 7am to 7am the following day,"<b>Carpark: </b>High Street Centre
<b>Address: </b>1 North Bridge Road, S(179094)
<b>Mon-Fri before 5/6pm: </b>\$3.21/hr from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.21/entry from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.21/entry from 7am to 7am the following day","(0.022514902685030282, 1.8125145356699108)"
Hilton Hotel,"581 Orchard Road, S(238883)","\$7.00 for 1st hr, \$3.50 for next subsequent 30min from 7am to 6pm",\$7.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$7.00/entry from 7am to 7am the following day,"<b>Carpark: </b>Hilton Hotel
<b>Address: </b>581 Orchard Road, S(238883)
<b>Mon-Fri before 5/6pm: </b>\$7.00 for 1st hr, \$3.50 for next subsequent 30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$7.00/entry from 6pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$7.00/entry from 7am to 7am the following day","(0.02279211682078304, 1.8121652533986847)"
Hitachi Tower / Caltex House,"16 Collyer Quay, S(049318)",\$3.00/30min from 7.30am to 6.29pm,\$3.50/entry from 6.30pm to 7.29am the following day,"\$2.75/30min from 7.30am to 12.59pm, 3.30/entry from 1pm to 7.29am the following day",\$3.50/entry from 7.30am to 7.29am the following day,"<b>Carpark: </b>Hitachi Tower / Caltex House
<b>Address: </b>16 Collyer Quay, S(049318)
<b>Mon-Fri before 5/6pm: </b>\$3.00/30min from 7.30am to 6.29pm
<b>Mon-Fri after 5/6pm: </b>\$3.50/entry from 6.30pm to 7.29am the following day
<b>Sat: </b>\$2.75/30min from 7.30am to 12.59pm, 3.30/entry from 1pm to 7.29am the following day
<b>Sun/ Public Holiday: </b>\$3.50/entry from 7.30am to 7.29am the following day","(0.022412441385962698, 1.8125695030693734)"
Lumiere,"2 Mistri Road, S(079624)",\$2.50/hr from 12 midnight to 6pm,\$3.00/entry from 6pm to 12midnight,"Charges same as weekdays, but \$3.00/entry after 1pm",\$3.00/entry,"<b>Carpark: </b>Lumiere
<b>Address: </b>2 Mistri Road, S(079624)
<b>Mon-Fri before 5/6pm: </b>\$2.50/hr from 12 midnight to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 6pm to 12midnight
<b>Sat: </b>Charges same as weekdays, but \$3.00/entry after 1pm
<b>Sun/ Public Holiday: </b>\$3.00/entry","(0.022241282182207372, 1.8124563062500767)"
Holiday Inn Hotel - Parkview,"11 Cavenagh Road, S(229616)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Holiday Inn Hotel - Parkview
<b>Address: </b>11 Cavenagh Road, S(229616)
<b>Mon-Fri before 5/6pm: </b>\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022730262352092367, 1.8123673625260659)"
Holland Road Shopping Centre,"211 Holland Avenue, S(278967)",\$2.20/30min from 12midnight to 8.59pm from Mon-Thurs,\$4.80/entry from 9pm to 12midnight the following day from Mon-Thurs,"\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday","\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday","<b>Carpark: </b>Holland Road Shopping Centre
<b>Address: </b>211 Holland Avenue, S(278967)
<b>Mon-Fri before 5/6pm: </b>\$2.20/30min from 12midnight to 8.59pm from Mon-Thurs
<b>Mon-Fri after 5/6pm: </b>\$4.80/entry from 9pm to 12midnight the following day from Mon-Thurs
<b>Sat: </b>\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday
<b>Sun/ Public Holiday: </b>\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday","(0.022870525737428885, 1.8115711049240626)"
Hong Leong Building,"16 Raffles Quay, S(048581)",\$3.00/30min from 7am to 5.59pm,\$2.00/hr from 6pm to 6.59am the following day,"\$3.00/30min from 7am to 12.59pm, \$2.00/hr from 1pm to 6.59am the following day",\$2.00/hr from 7am to 6.59am the following day,"<b>Carpark: </b>Hong Leong Building
<b>Address: </b>16 Raffles Quay, S(048581)
<b>Mon-Fri before 5/6pm: </b>\$3.00/30min from 7am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$2.00/hr from 6pm to 6.59am the following day
<b>Sat: </b>\$3.00/30min from 7am to 12.59pm, \$2.00/hr from 1pm to 6.59am the following day
<b>Sun/ Public Holiday: </b>\$2.00/hr from 7am to 6.59am the following day","(0.02236481484133428, 1.8125422043745427)"
Hotel Asia,"37 Scotts Road, S(228229)",Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,"<b>Carpark: </b>Hotel Asia
<b>Address: </b>37 Scotts Road, S(228229)
<b>Mon-Fri before 5/6pm: </b>Free parking for Hotel's guests
<b>Mon-Fri after 5/6pm: </b>Free parking for Hotel's guests
<b>Sat: </b>Free parking for Hotel's guests
<b>Sun/ Public Holiday: </b>Free parking for Hotel's guests","(0.022889172835157193, 1.8122788254637705)"
Singapore Art Museum,"71 Bras Basah Road, S(189555)",Limited Free Parking Lots,Limited Free Parking Lots,Not for public,Not for public,"<b>Carpark: </b>Singapore Art Museum
<b>Address: </b>71 Bras Basah Road, S(189555)
<b>Mon-Fri before 5/6pm: </b>Limited Free Parking Lots
<b>Mon-Fri after 5/6pm: </b>Limited Free Parking Lots
<b>Sat: </b>Not for public
<b>Sun/ Public Holiday: </b>Not for public","(0.022638334115060568, 1.8125364884212425)"
Singapore Tourism Board (STB),"1 Orchard Spring Lane, S(247729)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 8.30am to 6pm",Car Park closed after 6pm,Closed,Closed,"<b>Carpark: </b>Singapore Tourism Board (STB)
<b>Address: </b>1 Orchard Spring Lane, S(247729)
<b>Mon-Fri before 5/6pm: </b>\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 8.30am to 6pm
<b>Mon-Fri after 5/6pm: </b>Car Park closed after 6pm
<b>Sat: </b>Closed
<b>Sun/ Public Holiday: </b>Closed","(0.022755662128696636, 1.812071490820609)"
Hotel Rendezvous,"9 Bras Basah Road, S(189559)",\$3.70/hr from 7am to 5pm,\$3.70/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Hotel Rendezvous
<b>Address: </b>9 Bras Basah Road, S(189559)
<b>Mon-Fri before 5/6pm: </b>\$3.70/hr from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.70/hr from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022663526197483855, 1.8125121882020672)"
Hotel Royal Queens,"12 Queen Street, S(188553)",\$1.28/30min from 8am to 5pm,\$3.21/entry 5pm to 8am the following day,Charges same as weekdays,\$3.21/entry from 8am to 8am the following day,"<b>Carpark: </b>Hotel Royal Queens
<b>Address: </b>12 Queen Street, S(188553)
<b>Mon-Fri before 5/6pm: </b>\$1.28/30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.21/entry 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.21/entry from 8am to 8am the following day","(0.022648701370817415, 1.8125621273079542)"
Hougang Mall,"90 Hougang Avenue 10, S(538766)","\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","<b>Carpark: </b>Hougang Mall
<b>Address: </b>90 Hougang Avenue 10, S(538766)
<b>Mon-Fri before 5/6pm: </b>\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight
<b>Mon-Fri after 5/6pm: </b>\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight
<b>Sat: </b>\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight
<b>Sun/ Public Holiday: </b>\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","(0.023953434470450542, 1.8132885281066464)"
